herd;cow;lnscc;lnsccel
24;102;4.65;-0.33
24;103;4.74;-0.27
25;104;5.14;0.17
25;105;3.53;-0.53
25;106;5.37;2.31
25;107;5.76;1.35
25;108;4.08;-1.66
25;109;3.37;-1.52
26;110;3.85;0.07
26;111;3.69;-1.27
26;112;4.76;-0.15
26;114;3.14;-0.15
26;115;4.37;1.42
27;116;4.17;0.7
27;117;3.78;-1.48
28;120;3.22;-1.48
28;121;5.18;0.38
28;122;7.68;-2.06
28;123;4.23;1.44
29;124;2.94;-1.76
30;125;5.42;0.72
30;126;2.64;0.12
30;128;2.48;-2.06
31;129;3.33;0.75
32;131;8.62;-0.08
32;132;3.3;-0.94
33;134;2.71;-1.56
33;135;2.83;-0.96
33;136;2.64;-0.81
33;137;4.04;-1.33
33;138;4.86;3.35
33;139;4.55;-0.53
33;140;3.95;-0.89
34;141;5.08;1.51
35;142;3.5;0.18
35;143;3.69;-0.66
36;145;5.99;-0.08
36;147;3.4;-0.26
36;148;4.69;2.62
36;149;3.66;-1.48
36;150;4.36;-0.71
36;151;3;1.21
37;152;2.64;-1.12
37;153;3.14;-1.3
37;154;5.41;1.71
37;155;2.77;-0.59
37;157;3.47;0.95
38;159;3.78;0.32
38;160;4.39;-0.25
38;161;3.83;-0.03
39;164;3.18;1.3
39;165;2.83;-1.99
39;166;4.55;-0.25
39;167;3.43;-0.14
40;168;4.34;-0.64
40;169;4.16;0.15
40;170;2.64;-0.71
40;171;3.09;0.27
41;172;4.74;-0.79
41;173;8.13;-1.7
41;174;3.4;-0.96
41;175;3.81;-1.23
41;176;3.64;-1.17
41;177;3.58;1.4
41;178;2.64;-0.25
41;179;3.14;-0.81
42;180;5.77;0.34
42;181;7.67;0.17
42;182;2.77;-1.37
42;183;4.03;-0.5
42;184;5.46;-0.29
43;186;4.99;0.76
44;187;3.56;-0.96
44;188;3.26;1.7
44;189;2.94;-1.33
45;191;2.89;0.95
46;192;5.3;-0.61
46;193;3.37;-0.62
46;194;4.16;0.28
46;195;3;0
46;196;3.26;-0.64
46;197;3.64;-0.77
46;198;4.62;1.05
46;199;4.33;0.89
46;201;4.54;-1.17
46;202;5.81;0.49
46;203;4.3;-1.37
46;204;4.03;0.91
47;205;3.53;-1.09
47;207;5.18;-0.33
47;208;3.22;0.75
47;209;3.93;3.01
47;210;3.22;-0.12
48;213;5.67;0.16
49;214;5.16;-0.48
49;215;2.71;0.09
49;216;3.43;0.95
49;217;3.95;3.91
49;218;4.79;-1.14
49;219;4.33;0.87
50;220;3.22;-1.2
50;221;2.2;-1.48
51;222;5.07;1.26
51;223;3.4;0.95
51;224;3.37;-0.96
51;226;3.89;0.05
51;228;3;-1.52
52;230;2.3;1.24
52;231;3.37;0.14
52;232;4.28;-0.92
52;233;3.37;-0.38
53;234;2.83;0.49
53;235;2.71;-0.36
53;236;3.69;0.07
53;237;4.94;1.07
53;238;3.56;0.04
53;239;3.5;0.97
53;240;3.83;-1.56
53;241;2.3;0.08
54;242;5;-0.42
54;243;7.01;0.15
54;244;6.91;-0.77
54;245;3.3;-1.01
54;246;3.61;-0.71
54;247;4.26;-0.21
54;248;3.26;-0.28
54;250;3.47;-0.14
54;251;3.53;-0.4
54;252;6.32;1.13
55;253;4.26;1.37
56;257;4.75;-0.73
56;258;6.68;-0.42
56;259;3.93;1.63
56;260;4.29;0.91
56;262;4.96;-1.33
57;266;3.81;0.5
57;268;4.17;2.5
57;269;6.22;0.41
57;270;3.93;0.83
58;271;3.33;0
58;272;4.58;-1.06
58;273;2.89;-0.56
59;274;2.77;0.16
59;275;3.04;-0.09
59;276;3.22;0.45
59;277;2.89;-0.81
60;278;5.67;2.49
60;280;3.66;0.41
61;281;6.49;0.69
61;282;2.94;-1.37
61;285;6.39;1.48
62;287;2.3;-1.2
62;289;3.64;-0.31
62;290;2.3;0.5
63;291;6.22;0.78
63;293;4.68;-1.52
63;294;4.62;-0.81
63;295;3.61;-1.37
64;301;3.76;-0.56
64;302;2.89;-0.45
64;303;3.58;-0.37
65;304;2.3;-1.4
66;305;2.71;0.69
66;307;3.61;-0.44
66;308;4.19;-0.81
67;309;5.1;0.65
67;311;5.29;0.55
67;312;3.76;-0.01
68;313;5.16;0.63
68;314;3.95;-0.56
68;315;3.71;1.44
68;316;2.2;-1.3
69;317;3.04;-1.48
69;318;4.34;-1.01
69;320;2.77;-1.52
70;322;2.64;-1.01
70;323;3.58;-1.48
71;325;4.36;0.24
71;326;2.71;-0.81
72;327;6;1.18
72;328;3.66;-0.71
72;330;3.3;0.04
72;331;1.79;0.5
72;332;2.83;-0.51
72;333;2.2;-1.52
73;334;4.42;1.16
73;335;3.22;-1.4
73;336;3.58;-1.01
73;337;3.14;-1.52
73;338;3.56;-1.93
73;339;2.3;-0.75
73;340;3.4;-1.17
73;341;2.89;-1.56
74;343;4.29;-1.52
74;344;5.74;0
74;345;3.97;-0.81
75;346;2.94;-1.4
75;347;4.47;1.1
75;349;2.56;-0.53
76;350;3.71;-0.34
76;352;2.4;-1.99
77;355;3.93;-0.96
77;356;4.14;-0.89
77;357;3.4;-0.09
78;358;7.33;1.45
78;360;3.81;0.65
78;361;4.14;-0.92
79;365;3.95;-0.23
79;366;4.38;-0.36
79;367;3.04;1.44
79;368;2.89;-0.47
79;369;4.28;1.56
79;370;4.53;-0.87
79;371;4.9;-0.59
79;372;2.94;-1.37
80;373;4.7;0.21
80;374;4.16;0.77
80;376;4.45;-0.54
81;379;3.09;0.14
81;380;4.13;-0.44
82;382;2.4;0.97
82;383;4.33;-0.17
82;384;3.56;0.04
83;385;3.89;-1.33
83;388;4.13;-0.18
83;389;4.23;-0.81
83;390;2.64;1.29
84;391;4.19;-0.06
84;392;3.04;-0.61
84;393;3.26;-0.06
85;394;4.01;0.8
85;395;3.3;0.15
85;396;3.22;-0.54
85;397;5.45;-0.09
86;398;3.64;0.32
86;399;4.11;-0.61
86;401;3.43;0.2
86;402;4.93;0.86
87;403;4.32;-0.44
87;404;6.77;0.82
88;409;2.08;-1.76
88;410;4.43;1.34
88;411;3.37;1.11
89;412;2.56;0.23
90;413;3.66;3.6
91;414;3;0.6
91;415;4.94;1.4
91;416;4.66;-0.12
91;418;3.33;-0.92
91;420;4.03;4.09
92;421;5.9;1.28
92;423;6.29;-0.61
92;424;3.61;0.85
92;427;3.78;-0.08
92;428;3.85;0.33
92;430;5.1;1.82
93;431;4.81;2.19
93;433;3.85;-0.36
93;434;5.56;0.83
93;438;5.46;-0.08
93;439;3.43;1.11
94;440;3.89;-1.17
94;442;2.64;-0.83
95;443;2.64;-1.3
95;444;4.37;0.44
95;446;3.61;3.04
95;447;6.89;0.24
96;448;4.36;0.55
96;449;3.5;1.25
96;450;4.19;0.54
96;452;4.7;2.2
96;453;3.4;-0.56
96;454;4.04;1.31
96;455;4.68;-0.42
97;457;3.66;-0.33
97;458;3.18;2.04
97;459;5.12;-0.66
97;460;3.18;-0.96
98;462;3.4;1.07
98;463;3;-0.26
98;464;3.5;-0.87
98;465;4.25;-0.33
98;466;3.74;0.8
98;467;3;-0.18
98;468;3.22;1.25
98;469;3;-0.75
98;470;3.93;-0.85
98;471;4.6;-0.59
98;472;5.53;0.71
99;473;4.91;-1.14
100;478;2.83;-1.2
100;479;3.97;-1.44
100;480;3.71;-1.37
100;481;3.37;0.22
101;482;7.01;-0.96
102;483;3.4;-1.56
102;484;3.04;-1.99
102;485;3.3;0.29
102;486;3.22;-0.13
103;487;2.89;-1.09
104;488;3.87;-0.53
104;489;5.24;0.61
104;490;4.14;2.22
104;491;3.89;0.49
104;492;4.25;-1.17
105;493;5.42;-0.83
105;494;3.99;2.53
105;495;2.64;-1.76
106;497;4.68;2.53
106;498;6.74;0.13
106;499;3.5;-0.75
106;500;3.26;0.38
107;504;4.22;2.89
107;505;4.5;2.46
108;508;4.19;0.2
108;509;5.09;0.71
108;511;4.54;0.55
108;512;3.69;-0.28
109;514;2.48;-0.99
109;515;2.64;-1.27
109;516;4.63;0.21
109;517;3.5;2.3
109;518;3.33;-1.56
109;521;4.19;-1.2
110;523;5.44;0.15
110;524;3.53;-0.18
110;525;3.97;0.3
110;526;2.89;-1.23
110;527;7.07;2.99
110;528;3.56;0.71
111;529;3.22;-0.54
111;530;2.2;1.36
112;531;5.38;-0.41
112;532;3.43;-0.92
112;533;3.04;-0.89
113;534;3.22;-0.96
114;535;3.71;2.4
114;536;3.22;0.4
114;537;6.31;2.75
114;538;6.57;1.49
114;539;4.23;-0.48
115;540;3.58;3.56
115;541;3.85;-0.56
116;546;5.64;0.51
117;547;5.19;0.16
117;549;7.48;1.2
117;550;3.81;-1.2
117;551;4.81;-0.69
117;553;3.04;3.48
117;554;4.55;-0.32
117;556;4.75;0.5
117;557;3.81;2.53
118;559;4.64;2.52
118;560;4.04;0.64
118;561;3.93;-0.56
119;563;3.37;-0.92
119;564;2.2;-0.62
120;565;3.95;4.15
120;566;6.97;3.24
120;567;4.73;1.64
121;568;2.71;-0.07
122;569;3.74;-0.87
123;570;3.26;0
124;571;4.67;0.81
125;573;3.37;-1.2
125;575;5.13;1.47
125;576;2.94;-1.52
125;577;4.82;-1.4
126;582;4.36;2.16
126;583;3.95;0.66
126;584;4.63;0.61
127;585;2.77;-0.4
127;586;7.33;4.01
128;587;4.58;-0.48
128;588;5.12;0.32
128;589;3.78;-0.89
128;590;5.61;1.01
128;591;3.61;-0.42
128;592;2.94;-0.19
128;593;3.53;0.14
130;596;4.2;1.25
130;597;5.39;-1.01
130;598;4.13;2.14
130;599;4.06;-0.77
130;600;3.89;-1.66
130;601;4.48;-0.29
130;602;3.14;-1.23
131;603;2.83;-1.4
132;604;3.87;3.22
132;606;3.3;0.57
132;607;4.2;-0.41
132;608;2.89;-0.22
133;611;3.09;0.36
133;612;3.14;-1.17
133;613;3.5;-0.42
133;614;3.04;-0.89
133;615;3.26;-0.64
133;616;2.77;-1.76
134;618;3.91;-0.77
135;622;2.89;-1.01
135;623;2.94;0.92
136;624;3.14;-1.27
136;626;4.09;-0.75
137;627;2.94;-1.4
137;628;4.89;-0.21
137;629;2.56;-0.87
137;630;3.61;-1.12
137;631;3.43;1.58
137;632;3;-1.04
138;636;3.66;-1.56
138;637;2.89;-0.21
138;638;7.81;1.28
138;639;3.4;-0.45
138;640;3.04;-0.51
138;641;4.63;-0.69
138;642;3;0.45
139;643;2.89;-0.66
139;644;4.55;-0.89
140;645;4.19;-0.05
141;647;4.09;1.2
141;648;3.14;-2.14
141;649;4.25;0.35
141;651;6.61;-1.23
141;652;4.32;-0.08
141;653;4.52;0.97
142;655;5.09;0.34
142;656;4.91;0.92
142;657;3.14;0.38
142;658;3.18;-0.61
142;659;3.69;-0.42
142;661;3.58;-1.14
142;662;4.34;1.11
143;663;3.09;-0.79
143;664;4.13;1.4
143;665;3.69;0.14
143;666;3.18;-1.44
143;667;3.53;-0.51
143;668;4.8;-0.59
144;669;5.74;0.23
144;670;3.53;-1.12
144;672;3.37;0.24
144;673;3.18;1.69
144;674;4.22;-1.81
145;676;3.81;0.08
145;677;4.08;-0.87
145;678;7.74;1.15
145;679;4.54;2.24
145;680;5.82;0.48
145;681;5.9;-0.38
145;682;5.74;-0.85
145;684;5.38;1.06
145;685;4.19;-0.45
146;686;4.14;2.21
146;687;4.37;-0.08
146;688;3.43;-0.99
147;690;3.61;0.92
147;691;3.14;0.59
147;692;3.66;-1.01
148;693;4.47;-0.07
149;694;3.64;0.63
150;695;3.04;-0.38
150;696;4.34;0.18
151;697;4.09;0.29
152;698;3.22;-1.4
152;699;3.99;-1.3
152;700;3.4;0.24
153;701;2.89;-0.75
153;702;8.13;-1.23
153;703;3.09;-1.3
154;704;3.97;0.43
154;705;4.91;1.61
155;708;5.45;0.5
155;709;4.04;-1.7
155;711;3.47;-1.23
156;713;5.32;1.21
156;714;4.37;-1.52
156;715;6.15;0.28
157;718;4.65;-0.22
157;719;4.16;0.93
157;720;4.74;0.22
157;721;3.64;-1.3
157;722;4.14;-0.12
157;723;3.43;-0.32
157;724;5.1;2.43
157;725;3.33;-1.66
157;726;3.18;-0.08
158;727;3.76;-1.61
158;728;3.99;-0.36
159;731;4.3;-2.06
160;732;3.58;0.7
160;733;2.83;-0.77
160;734;3.66;-0.38
160;736;3.14;-0.59
161;739;3.58;0.1
162;740;5.93;-0.18
162;741;3.5;-1.12
163;742;4.56;-0.56
163;743;3.64;1.38
163;744;3.66;0.23
163;745;4.37;-1.93
164;746;4.14;-0.29
164;747;4.22;-0.59
164;748;4.76;-0.33
165;749;3;-0.62
165;750;5.18;0.17
165;751;3.56;1.05
165;752;3.09;-1.93
165;753;4.01;0.18
166;755;2.94;0.14
167;756;4.43;0.19
167;757;3.81;-0.87
167;758;3.89;-0.64
167;760;3.83;-1.61
167;761;3.85;1.34
167;762;3.56;-0.22
168;763;3.14;1.33
168;764;4.06;-1.76
169;766;3.26;0
169;768;4.03;0.93
169;769;2.94;-0.53
170;770;3.71;2.52
170;771;5.04;1.33
170;772;3.04;-1.3
171;773;3.89;-1.44
171;774;3.81;0.05
171;775;4.75;1.26
171;776;4.01;-0.4
171;777;3;-0.15
172;779;4.37;0.7
172;780;4.37;3.83
172;784;4.09;-0.85
172;785;4.45;0.03
172;786;3.91;-1.01
173;787;3.18;-0.75
174;789;3.95;-0.73
175;790;3.78;0.05
175;791;4.23;0.96
176;792;3.09;-0.64
176;793;3.22;-1.66
176;794;3.26;1.44
176;795;4.58;1.14
176;796;3.95;2.03
177;797;4.36;0.14
177;798;3.5;-0.81
177;799;4.91;2.47
177;800;3.69;-1.12
177;802;6.24;2.07
178;803;4.88;0.29
178;804;5.32;0.46
178;805;4.36;-0.64
178;806;3.47;-1.4
178;807;3.33;-0.79
178;808;3.33;-0.34
179;809;3.43;-0.5
179;810;4.28;0.34
179;811;3.37;-0.79
179;812;4.57;3.79
179;813;3.56;-0.67
180;815;4.09;-0.56
180;820;3;3.38
180;821;2.83;-0.04
180;822;6.83;0.79
180;823;2.94;-1.3
180;824;4.51;1.18
181;826;4.41;0.22
181;827;6.59;0.5
181;828;4.75;1.91
181;829;5.35;-0.4
182;835;3.33;-1.33
183;836;3.53;-0.48
183;837;3.53;0.66
183;838;3.83;1.6
183;840;5.67;1.69
183;841;4.03;-0.66
183;842;2.71;-0.77
184;843;4.48;0.59
184;844;3.66;-1.23
184;848;2.56;0.04
184;849;4.01;-0.44
184;850;6.91;2.14
184;851;3.5;0.14
184;853;3.83;-1.2
184;854;3.33;-0.56
185;855;5.43;-0.85
185;856;3.97;-0.73
185;857;4.2;-0.13
185;858;3.66;0.14
185;859;4.17;-0.92
185;860;5.22;1.46
185;861;2.77;-1.14
185;862;3.87;1.6
185;863;3.66;-0.66
185;864;3.33;-0.61
186;867;3.26;-0.94
186;868;6.11;1.69
187;869;3.93;0.12
187;870;3.18;1.15
188;873;3.4;0.16
188;874;3.26;-1.04
188;875;4.39;-0.48
189;876;3.56;0.78
189;877;3.09;1.22
189;879;3.76;0.78
189;883;3.04;0
189;884;3.69;-0.61
190;886;3.37;1.15
190;887;3.37;-0.99
190;888;5.27;-0.53
191;889;3.18;-1.14
191;890;4.52;-0.94
191;891;3.47;0.44
191;892;2.94;-1.04
192;893;3.3;-1.52
192;894;3.4;-1.7
193;897;3.47;-1.3
193;898;3.66;-0.62
193;899;3.4;-1.23
193;900;4.79;1.21
194;901;3.09;-0.62
194;902;4.98;-0.13
194;903;2.77;-0.69
195;905;4.33;-1.27
195;906;5.26;0.41
195;907;4.01;-0.28
195;908;4.38;-0.71
196;909;5.61;2.23
196;910;3.71;0.81
196;911;4.74;1.26
196;912;3;-1.48
196;913;3;-1.37
197;914;4.63;0.21
197;916;3.97;-1.76
198;918;3.33;-0.62
198;919;3.4;-0.53
198;920;2.64;0.69
199;923;5;-0.64
199;924;3.64;-0.79
199;925;2.83;0.94
200;926;3.81;2.25
201;927;3.53;-1.12
202;930;2.89;-1.99
202;932;3.87;1.66
202;933;2.56;-0.16
202;934;4.36;1.71
202;935;3.69;1.66
202;936;3.85;0.13
202;937;5.57;0.48
203;941;4.45;-0.07
203;942;5.16;2.05
204;943;4.3;1.82
204;944;4.01;-0.08
204;945;5.26;-0.64
205;946;3.18;-0.5
205;947;4.9;0.18
205;948;4.36;-1.23
205;949;2.89;1.16
206;951;4.13;0.98
206;953;2.48;-1.12
207;954;3.47;-0.94
207;955;3.71;0.59
207;956;3.56;-0.51
207;957;4.08;-1.52
207;959;3.14;0.14
207;960;4.98;0.9
207;961;4.54;-0.47
207;962;3.43;-1.37
207;963;4.57;0.32
208;965;3.93;-0.83
209;966;2.48;-0.92
209;968;3.81;-1.17
209;969;3.74;-0.77
209;970;3.26;1.36
210;971;4.41;-0.02
210;973;3.09;-0.09
211;975;4.72;-0.1
211;976;2.64;-0.21
211;977;4.51;-0.56
211;978;4.68;0.45
212;979;3.22;-0.92
213;982;3.09;-0.08
213;983;3.4;2.63
213;985;4.58;-1.61
213;986;3.56;0.38
213;987;4.03;1.3
213;989;3.85;0.27
214;992;3.69;-0.31
214;993;5.12;2.25
214;994;3.18;-1.4
215;995;3.5;-0.96
216;998;3.4;-0.75
216;999;3.53;0.6
216;1000;3;0.22
216;1001;4.06;-1.37
216;1002;2.48;-1.33
217;1003;4.37;-0.33
217;1004;3.76;-0.45
217;1006;3.26;-0.54
217;1007;4.32;-0.85
217;1008;5.39;0.71
218;1009;5.43;1.82
218;1010;6.2;-0.42
218;1011;4.55;0.26
219;1012;4.93;3.28
219;1013;3.81;-0.4
219;1014;5.61;2.42
219;1015;3.47;1.01
219;1016;5.69;-0.83
219;1017;3.71;-0.34
219;1018;4.04;0.49
220;1019;5.28;0.75
221;1020;4.08;1.59
221;1021;3.37;0.91
221;1022;3.14;-1.14
223;1024;5;0.44
223;1025;7.05;-0.83
223;1026;3.58;-1.76
223;1027;3.64;-1.99
223;1028;4.61;0.17
223;1029;3.26;0.39
223;1032;3.4;-1.17
224;1033;2.89;1.1
224;1035;4.97;0.18
224;1036;4.7;-0.64
224;1037;5.79;1.03
225;1038;3.95;-0.56
225;1040;6.49;-0.08
227;1043;3.56;-0.45
227;1044;3.71;2.44
227;1045;2.94;-0.36
227;1046;5.63;-0.94
227;1047;5.55;3.26
228;1050;3.18;-0.06
228;1051;6.6;1.03
228;1052;2.94;-1.23
228;1053;4.06;-0.94
228;1055;3.33;-0.47
228;1056;2.89;-1.3
228;1057;3;-1.01
229;1058;4.16;-1.66
229;1059;2.56;-1.12
229;1061;2.56;-1.44
229;1062;3.91;-1.81
230;1063;7.62;1.85
230;1064;5.02;1.01
230;1065;4.25;0.28
230;1066;5.25;0.53
230;1067;4.67;0.64
230;1068;2.83;-1.56
230;1069;3.37;0.18
230;1070;4.43;-1.12
231;1071;4.81;0.03
232;1072;4.13;-0.62
232;1073;2.77;-1.33
232;1074;3.22;-0.44
232;1075;3.04;-0.66
232;1076;3.04;-0.83
232;1077;3.33;-1.14
233;1078;4.23;2.14
233;1079;4.38;2.16
234;1080;4.91;-0.36
234;1081;4.43;0.68
234;1083;4.16;-0.57
235;1085;3.53;-0.47
235;1086;4.3;-0.54
235;1087;3.78;-1.44
235;1088;4.64;-1.17
235;1089;4.14;-0.31
236;1091;4.11;-1.37
236;1092;3.56;-1.48
237;1096;2.89;0.53
237;1098;6.86;-0.27
237;1099;3.43;-1.17
238;1101;5.15;0.24
238;1103;5.33;0.57
238;1105;4.26;2.07
238;1106;4.04;-1.14
238;1107;3.3;0.37
239;1109;4.08;-0.56
239;1110;3.04;-1.81
239;1111;4.74;0.1
240;1112;4.23;-0.37
240;1113;3.5;-1.81
240;1115;3.22;0.14
241;1116;3.43;-0.14
241;1117;3.53;-0.64
242;1120;5.27;0.16
243;1121;3.18;-0.15
243;1122;3.53;0.46
243;1123;3.43;2.34
245;1125;5.3;-0.77
245;1126;4.91;0.86
245;1127;6.81;0.33
246;1128;3.26;0.03
246;1130;2.71;-0.83
246;1132;5.71;0.82
248;1134;3.18;-1.06
248;1135;4.95;-0.67
248;1136;3.56;-0.81
248;1137;3.26;-0.85
249;1138;5.03;-0.48
249;1139;3.26;-0.89
250;1140;3.64;0.73
250;1141;4.62;0
251;1143;3.71;-0.64
251;1144;3.22;0.06
251;1145;3.37;1.84
251;1146;3.4;-0.51
251;1148;2.94;-0.99
252;1153;6.82;-0.26
252;1154;4.04;0.58
252;1155;4.17;-0.19
252;1156;4.26;-0.09
252;1157;5.02;-0.42
252;1158;6.41;1.32
253;1160;3.56;0.41
253;1161;4.13;-0.92
253;1162;4.93;1.47
254;1163;2.89;-0.33
254;1165;3.3;0.29
254;1166;3.37;1.31
255;1167;3.76;0.32
255;1168;3.14;0.33
256;1177;3;-1.33
256;1179;4.52;1.71
257;1180;3.81;3.4
258;1181;2.77;-0.51
258;1182;4.8;2.28
259;1183;3.58;-1.09
259;1184;4.96;-1.33
259;1185;4.45;-1.4
259;1186;3.47;-0.81
259;1187;4.29;-1.4
259;1188;3.58;0.2
259;1189;3.3;1.08
259;1192;5;0.18
260;1193;5.08;-0.56
260;1195;4.85;0.35
260;1199;3.18;-0.32
260;1200;2.89;0.46
260;1201;3.91;1.98
260;1203;3.91;-0.44
260;1204;4.04;1.45
260;1205;3.71;1.91
260;1206;4.99;-0.64
260;1208;4.79;-1.61
260;1209;4.91;0.98
261;1210;2.71;0.79
261;1211;3.61;0.45
261;1212;3.22;0.68
262;1213;4.44;0.12
262;1215;4.36;1.12
262;1216;4.09;-0.08
262;1217;4.57;-0.73
263;1218;3.5;-1.61
263;1220;4.51;2.13
264;1221;4.48;0.7
264;1224;3.69;-0.47
264;1226;3.53;0.87
265;1228;2.71;-1.04
265;1229;3.87;1.18
265;1230;2.56;-1.12
266;1231;5.67;-0.48
266;1232;3.4;-1.06
266;1233;4.29;0.14
266;1234;6.47;-1.04
266;1235;8.09;0.99
266;1236;4.01;-0.05
266;1237;2.89;0.04
266;1238;3.74;-0.21
266;1239;4.01;1.05
266;1240;4.29;0.51
267;1241;3.97;1.33
267;1242;5.46;1.89
268;1243;3.91;-0.96
268;1244;5.75;-0.96
268;1245;4.25;2.82
268;1246;3.56;-0.99
268;1247;3.18;-1.48
268;1248;3.56;-0.1
268;1249;3.09;-1.33
269;1250;4.14;-0.71
269;1251;4.61;0.04
269;1252;4.13;2.85
269;1253;5.26;-1.09
269;1254;4.14;0.72
269;1255;4.83;-0.94
269;1257;3.83;-0.66
270;1258;4.44;-0.07
271;1260;5.44;2.88
272;1261;3.69;-0.45
272;1262;3.04;-1.48
273;1265;4.54;1.13
273;1266;4.7;0.07
273;1267;4.98;0.25
274;1269;3.53;-0.5
274;1270;4.26;0.86
274;1271;3.64;-0.71
274;1272;4.2;-0.81
274;1273;3.58;-0.81
275;1277;4.22;-0.45
275;1278;3.61;1.03
275;1279;3.99;-0.4
275;1282;5.01;2.08
276;1283;2.3;-0.03
276;1284;3;-1.48
276;1285;2.64;-1.52
276;1286;4.89;0.24
276;1287;5.98;3.93
276;1288;3.37;0.05
276;1289;3.22;1.51
276;1290;3.09;-1.14
276;1291;3.4;3.04
276;1292;4.79;-0.33
276;1293;3.09;-0.5
277;1294;3.81;0.36
277;1295;4.93;1.4
278;1296;3.74;-0.36
278;1297;5.26;0.44
278;1298;3.83;1.46
278;1299;4.57;-1.48
278;1301;4.94;1.01
278;1302;2.64;-0.08
279;1303;5.35;0.22
279;1304;3.26;-0.85
279;1305;3.76;-0.87
280;1306;3.78;-1.06
280;1307;4.01;-0.31
280;1308;3.09;0.9
280;1309;3.87;-0.45
280;1310;3.33;-1.17
280;1311;3.78;-0.83
281;1313;4.63;0.22
281;1314;4.42;-0.83
282;1315;2.94;-0.96
282;1316;4.3;1.6
282;1317;3.61;0.73
282;1318;4.98;0.59
282;1320;5.9;-1.44
282;1321;2.83;1.75
283;1322;3.09;-1.66
283;1323;2.83;-1.3
283;1324;4.84;1.26
283;1325;2.71;-0.38
284;1327;3.18;-1.17
284;1329;3.4;-1.33
284;1331;4.81;0.72
284;1332;4.62;1.57
284;1333;2.77;-2.3
284;1334;3.99;-0.36
284;1335;3.04;0.06
284;1337;3;-1.33
284;1339;3.89;-0.53
284;1340;3.43;-0.51
285;1341;5.81;-0.29
285;1342;4.28;2.36
286;1343;3.43;-1.2
286;1344;3.14;-1.2
286;1345;4.98;0.14
286;1346;4.16;0.06
286;1347;3.22;-1.23
288;1349;4.03;-1.09
288;1351;5.43;-0.54
288;1352;4.64;2.4
288;1353;2.71;0.22
288;1354;3.61;-1.76
288;1355;2.56;0.42
288;1356;4.56;-0.44
289;1358;3.69;-1.17
289;1363;3.04;0.65
289;1364;3.22;-1.14
289;1367;5.64;-1.81
290;1368;4.08;1.7
290;1369;4.58;0.72
290;1370;2.64;-2.14
290;1371;4.57;-0.92
291;1372;4.47;-0.89
291;1373;6.25;3.3
291;1374;5.07;0.73
291;1375;6.2;0.88
292;1376;4.74;2.69
292;1377;3.14;1.35
292;1378;6.17;1.44
292;1379;3.85;0.96
293;1380;6.89;3.21
293;1381;4.8;0.77
293;1383;4.32;-0.32
294;1384;2.64;2.5
295;1386;4.44;-0.31
295;1387;5.44;-0.75
295;1390;6.11;-0.53
295;1391;3.93;0.08
295;1393;3.69;-0.73
295;1394;7.81;1.91
296;1395;4.32;0.01
296;1396;3.76;-0.62
296;1397;4.3;-0.85
296;1398;2.77;-0.66
296;1399;3.5;0.26
296;1400;4.62;-0.01
296;1401;4.3;0.57
296;1402;3.81;-0.2
296;1404;3.3;-0.2
296;1405;3.76;-0.25
296;1406;6.07;2.28
296;1407;3.22;1.26
297;1411;4.88;0.1
297;1412;4.06;-0.51
297;1413;3.69;-0.18
298;1414;3.47;1.87
298;1415;3.81;1.02
298;1417;4.52;-0.62
298;1418;4.2;0.21
298;1419;4.57;1.59
