region,herd,cow,study_lact,herd_size,mwp,parity,milk120,calv_dt,cf,fs,cc,wpc,spc,twin,dyst,rp,vag_disch,h7
1,1,25,2,294,26,7,3296.199951,1997-09-17,,,,,,0,0,0,0,1
1,1,26,1,294,26,6,,1997-07-02,,,,,,0,0,0,0,1
1,1,27,1,294,26,5,3249.300049,1997-04-08,,,,,,0,0,0,0,1
1,1,28,1,294,26,6,3350.300049,1997-05-02,,,,,,0,0,0,0,1
1,1,29,1,294,26,3,3532.399902,1997-07-23,56,0,80,54,3,0,0,0,0,1
1,1,30,1,294,26,3,,1997-06-15,,,,,,0,0,0,0,1
1,1,31,1,294,26,5,3186.800049,1996-12-19,,,,,,0,0,0,0,1
1,1,32,1,294,26,3,3646.800049,1997-01-13,57,1,57,31,1,0,0,0,0,1
1,1,33,1,294,26,3,3119.100098,1997-04-30,43,0,67,41,2,0,0,0,0,1
1,1,34,1,294,26,3,3715.5,1996-12-30,90,,,,1,0,0,1,0,1
1,1,35,1,294,26,6,3891.399902,1997-03-30,,,,,,0,0,0,0,1
1,1,36,1,294,26,2,3254,1997-06-01,61,,,,2,1,0,0,0,1
1,1,37,1,294,26,2,3137.600098,1996-10-08,45,1,45,19,1,0,0,0,0,1
1,1,37,2,294,26,3,3053.699951,1997-09-04,56,0,77,51,2,0,0,0,0,1
1,1,38,1,294,26,5,2697.100098,1997-04-02,50,1,50,24,1,0,1,0,0,1
1,1,39,1,294,26,3,3730.5,1997-06-16,81,,,,3,0,0,0,1,1
1,1,40,1,294,26,6,3447.300049,1997-03-17,46,0,108,82,4,0,0,0,0,1
1,1,41,1,294,26,6,3534.600098,1997-10-25,,,,,,1,0,0,0,1
1,1,42,1,294,26,6,3726.800049,1997-04-25,64,1,64,38,1,0,0,1,0,1
1,1,43,1,294,26,6,3665.100098,1997-03-27,,,,,,0,0,0,0,1
1,1,44,1,294,26,2,3711.699951,1996-09-13,84,0,125,99,2,1,1,0,0,1
1,1,44,2,294,26,3,3754.600098,1997-10-30,68,1,68,42,1,0,0,0,0,1
1,1,45,1,294,26,6,,1997-07-30,,,,,,0,0,0,0,1
1,1,46,1,294,26,5,3379,1997-03-27,37,0,200,174,4,0,0,0,0,1
1,1,47,1,294,26,6,3376.5,1997-04-28,102,0,122,96,2,0,0,0,0,1
1,1,48,1,294,26,6,3652.100098,1997-06-14,,,,,,0,0,0,0,1
1,1,49,1,294,26,6,3804.800049,1997-02-16,,,,,,1,0,1,0,1
1,1,50,1,294,26,3,3399.5,1997-02-04,54,0,74,48,2,0,0,0,0,1
1,1,51,1,294,26,3,3487.800049,1997-03-01,114,,,,1,0,0,0,1,1
1,1,52,1,294,26,3,,1996-12-20,,,,,,0,0,0,0,1
1,1,53,1,294,26,6,3321.199951,1996-12-15,,,,,,0,0,0,0,1
1,1,54,1,294,26,6,3536.199951,1997-07-08,53,,,,1,0,0,0,0,1
1,1,55,1,294,26,6,4534.600098,1997-04-06,43,0,117,91,2,0,0,0,0,1
1,1,56,1,294,26,5,3466.699951,1997-06-10,102,0,165,139,2,0,0,0,0,1
1,1,57,1,294,26,5,4224,1997-07-13,96,1,96,70,1,0,0,0,0,1
1,1,58,1,294,26,4,3987.399902,1997-01-04,60,0,129,103,2,0,0,0,0,1
1,1,59,1,294,26,5,4598.299805,1997-07-10,61,1,61,35,1,0,1,0,0,1
1,1,60,1,294,26,4,,1997-10-31,,,,,,0,0,0,0,1
1,1,61,1,294,26,4,3832.699951,1997-04-10,69,1,69,43,1,0,0,0,0,1
1,1,62,1,294,26,3,2799.800049,1997-11-12,78,1,78,52,1,0,0,0,0,1
1,1,63,1,294,26,5,3939,1997-08-16,56,0,208,182,5,0,0,0,0,1
1,1,64,1,294,26,4,3789.300049,1997-04-06,41,1,41,15,1,0,0,0,0,1
1,1,65,1,294,26,4,,1997-07-09,,,,,,0,0,0,0,1
1,1,66,1,294,26,4,3679.899902,1997-05-16,75,0,98,72,2,0,0,0,0,1
1,1,67,1,294,26,4,2502.100098,1997-01-26,129,0,196,170,3,0,0,1,1,1
1,1,68,1,294,26,4,3831.300049,1996-12-09,,,,,,0,0,0,0,1
1,1,69,1,294,26,4,4189.399902,1996-11-20,64,0,88,62,2,0,0,0,0,1
1,1,69,2,294,26,5,3387.399902,1997-11-23,58,,,,3,0,0,0,0,1
1,1,70,1,294,26,4,3289.600098,1997-03-12,102,0,169,143,3,0,0,1,0,1
1,1,71,1,294,26,4,4331.5,1997-01-07,49,1,49,23,1,0,0,0,0,1
1,1,72,1,294,26,3,3276.100098,1997-04-11,46,,,,5,0,0,1,0,1
1,1,73,1,294,26,1,2508.600098,1997-02-05,47,0,225,199,5,0,0,0,0,1
1,1,74,1,294,26,4,3824.5,1997-04-15,207,1,207,181,1,0,0,0,0,1
1,1,75,1,294,26,4,3591.5,1997-04-06,64,0,124,98,2,0,0,0,0,1
1,1,76,1,294,26,1,3204,1996-12-14,75,1,75,49,1,0,0,0,0,1
1,1,77,1,294,26,4,3982.5,1997-02-14,,,,,,0,0,0,0,1
1,1,78,1,294,26,3,4554,1997-01-10,49,1,49,23,1,0,0,0,0,1
1,1,79,1,294,26,4,3620.899902,1996-11-08,54,1,54,28,1,0,0,1,0,1
1,1,79,2,294,26,5,2986.300049,1997-10-07,96,,,,1,1,0,1,0,1
1,1,80,1,294,26,4,3864,1996-11-05,38,0,98,72,3,0,0,0,0,1
1,1,80,2,294,26,5,3376.800049,1997-11-23,,,,,,0,0,0,0,1
1,1,81,1,294,26,4,3554.800049,1997-04-26,63,,,,4,0,0,0,0,1
1,1,82,1,294,26,4,,1997-03-04,,,,,,0,0,0,0,1
1,1,83,1,294,26,4,3550,1997-01-24,72,1,72,46,1,0,0,0,0,1
1,1,84,1,294,26,3,3794.399902,1997-07-03,41,0,146,120,3,0,0,1,0,1
1,1,85,1,294,26,3,3389.5,1997-02-19,72,0,187,161,2,1,0,1,0,1
1,1,86,1,294,26,3,3649.399902,1996-10-10,64,0,193,167,3,0,0,0,0,1
1,1,87,1,294,26,4,3732.199951,1997-02-19,40,0,120,94,3,0,0,1,0,1
1,1,88,1,294,26,4,3849.800049,1997-06-01,62,0,233,207,5,0,0,0,0,1
1,1,89,1,294,26,4,3368.899902,1997-02-05,50,0,107,81,3,0,0,0,0,1
1,1,90,1,294,26,4,3807.399902,1997-05-03,100,1,100,74,1,0,0,0,0,1
1,1,91,1,294,26,4,3520,1997-10-31,99,,,,4,0,0,0,0,1
1,1,92,1,294,26,4,4031.699951,1997-03-05,50,0,166,140,4,0,0,1,0,1
1,1,93,1,294,26,4,4320.200195,1997-04-11,42,1,42,16,1,0,0,0,0,1
1,1,94,1,294,26,4,3664,1997-01-06,53,1,53,27,1,0,0,0,0,1
1,1,95,1,294,26,4,4481.200195,1996-12-31,64,0,128,102,2,0,0,0,0,1
1,1,96,1,294,26,4,3036.600098,1997-04-07,88,0,112,86,2,0,0,0,0,1
1,1,97,1,294,26,4,3252,1997-07-17,42,0,71,45,2,0,0,0,0,1
1,1,98,1,294,26,4,2623,1997-05-11,83,0,229,203,6,0,0,1,0,1
1,1,99,1,294,26,4,4014.199951,1997-02-17,41,,,,6,0,0,1,0,1
1,1,100,1,294,26,4,4698.799805,1997-07-09,56,1,56,30,1,0,0,0,0,1
1,1,101,1,294,26,4,,1997-03-20,233,1,233,207,1,0,0,0,0,1
1,1,102,1,294,26,3,3973.600098,1996-10-11,67,0,90,64,2,0,0,0,0,1
1,1,102,2,294,26,4,3629.600098,1997-10-18,71,,,,4,0,0,0,0,1
1,1,103,1,294,26,4,4267.5,1997-01-24,59,0,99,73,2,0,0,1,0,1
1,1,104,1,294,26,4,4032.899902,1997-01-28,64,0,110,84,3,0,0,0,0,1
1,1,105,1,294,26,3,3599.800049,1996-12-12,74,0,144,118,3,0,0,0,0,1
1,1,106,1,294,26,3,3802.600098,1996-12-28,60,0,148,122,3,0,0,0,0,1
1,1,107,1,294,26,3,4299.5,1997-02-04,64,1,64,38,1,0,0,0,0,1
1,1,108,1,294,26,3,3869.600098,1997-03-08,88,1,88,62,1,0,0,0,0,1
1,1,109,1,294,26,3,5181.799805,1997-08-17,44,0,73,47,2,0,0,0,0,1
1,1,110,1,294,26,3,3182,1997-02-14,,,,,,0,0,0,0,1
1,1,111,1,294,26,3,4082.399902,1997-02-24,52,0,73,47,2,0,0,0,0,1
1,1,112,1,294,26,4,2890.300049,1997-04-03,49,0,124,98,3,0,0,1,1,1
1,1,113,1,294,26,4,3112.300049,1997-10-07,59,1,59,33,1,0,0,0,0,1
1,1,114,1,294,26,4,2756.300049,1997-09-10,107,0,130,104,2,0,0,0,0,1
1,1,115,1,294,26,3,4063.899902,1997-01-19,39,1,39,13,1,0,0,0,0,1
1,1,116,1,294,26,4,2734.899902,1997-05-18,83,1,83,57,1,0,0,0,0,1
1,1,117,1,294,26,4,2930.5,1997-06-12,54,1,54,28,1,0,0,0,0,1
1,1,118,1,294,26,4,3260.5,1997-06-03,38,0,57,31,2,0,0,0,0,1
1,1,119,1,294,26,4,3482.899902,1997-10-13,90,,,,2,0,0,0,0,1
1,1,120,1,294,26,3,3704.600098,1997-06-19,60,1,60,34,1,0,1,0,0,1
1,1,121,1,294,26,3,3837.699951,1996-09-22,63,1,63,37,1,0,0,0,0,1
1,1,121,2,294,26,4,3332.199951,1997-09-04,24,0,173,147,5,0,0,0,0,1
1,1,122,1,294,26,3,4537.200195,1996-11-21,46,0,251,225,7,0,0,0,0,1
1,1,123,1,294,26,3,4146,1997-01-17,54,0,232,206,6,0,0,1,0,1
1,1,124,1,294,26,4,,1997-02-17,,,,,,0,0,0,0,1
1,1,125,1,294,26,3,3339.899902,1996-09-16,40,0,165,139,4,0,0,0,0,1
1,1,126,1,294,26,3,4570.399902,1997-06-16,49,0,123,97,2,0,0,1,0,1
1,1,127,1,294,26,3,4042.800049,1997-02-02,42,1,42,16,1,0,0,0,0,1
1,1,128,1,294,26,3,4613.299805,1997-02-25,117,0,138,112,2,0,0,0,0,1
1,1,129,1,294,26,3,5025.799805,1997-03-18,59,0,270,244,6,0,0,0,0,1
1,1,130,1,294,26,4,4346.700195,1997-05-25,81,1,81,55,1,0,0,0,0,1
1,1,131,1,294,26,4,3977.399902,1997-04-10,54,1,54,28,1,0,0,0,0,1
1,1,132,1,294,26,4,3920.300049,1997-07-11,36,0,58,32,2,0,0,0,0,1
1,1,133,1,294,26,3,3683.699951,1997-05-19,73,1,73,47,1,0,0,0,0,1
1,1,134,1,294,26,2,,1997-01-17,,,,,,0,1,0,0,1
1,1,135,1,294,26,3,3364.699951,1997-06-06,74,0,164,138,3,0,0,0,0,1
1,1,136,1,294,26,3,3313.199951,1996-12-20,44,,,,7,0,0,0,0,1
1,1,137,1,294,26,3,3386.5,1997-02-04,,,,,,0,0,0,0,1
1,1,138,1,294,26,3,3763.699951,1997-01-16,,,,,,0,0,0,0,1
1,1,139,1,294,26,2,4168.5,1996-10-24,67,0,242,216,4,0,0,0,0,1
1,1,140,1,294,26,4,3306.5,1997-10-08,76,,,,5,0,0,0,0,1
1,1,141,1,294,26,3,3698.300049,1996-12-20,,,,,,0,0,1,0,1
1,1,142,1,294,26,3,3682.800049,1996-12-21,52,0,64,38,2,0,0,0,0,1
1,1,143,1,294,26,3,3678.100098,1996-12-15,82,1,82,56,1,0,0,0,0,1
1,1,144,1,294,26,3,,1997-05-18,,,,,,0,0,0,0,1
1,1,145,1,294,26,3,3846,1997-07-17,138,1,138,112,1,0,0,0,0,1
1,1,146,1,294,26,3,2653,1997-02-25,69,0,103,77,2,0,0,0,0,1
1,1,147,1,294,26,3,2997.199951,1997-04-26,60,1,60,34,1,0,0,0,0,1
1,1,148,1,294,26,3,4058.199951,1997-02-17,59,1,59,33,1,0,0,0,0,1
1,1,149,1,294,26,3,,1997-04-23,57,1,57,31,1,0,0,0,1,1
1,1,150,1,294,26,3,3272.600098,1997-01-04,46,0,162,136,5,1,0,0,0,1
1,1,151,1,294,26,3,3107.5,1997-05-30,73,1,73,47,1,0,0,0,0,1
1,1,152,1,294,26,2,4063.399902,1996-09-30,101,1,101,75,1,0,0,0,0,1
1,1,152,2,294,26,3,3943.899902,1997-10-13,131,0,179,153,2,0,0,0,0,1
1,1,153,1,294,26,3,3722.399902,1997-05-29,86,,,,6,0,0,0,0,1
1,1,154,1,294,26,2,4038.699951,1996-09-28,83,1,83,57,1,0,1,0,0,1
1,1,154,2,294,26,3,4079.600098,1997-10-07,105,0,136,110,2,0,0,0,0,1
1,1,155,1,294,26,3,3354,1997-02-24,60,0,112,86,4,0,0,0,0,1
1,1,156,1,294,26,2,3961.300049,1997-06-10,85,0,165,139,2,0,0,1,0,1
1,1,157,1,294,26,3,3652.899902,1997-02-24,35,1,35,9,1,0,0,0,0,1
1,1,158,1,294,26,3,3014.300049,1997-02-12,70,1,70,44,1,0,0,0,0,1
1,1,159,1,294,26,3,4393.100098,1997-07-18,65,,,,7,0,0,0,1,1
1,1,160,1,294,26,3,,1997-10-07,,,,,,0,0,0,0,1
1,1,161,1,294,26,2,,1997-05-16,48,,,,2,0,0,1,0,1
1,1,162,1,294,26,3,2607,1997-05-18,42,1,42,16,1,0,0,0,0,1
1,1,163,1,294,26,2,4420.899902,1996-10-31,56,1,56,30,1,0,0,0,0,1
1,1,163,2,294,26,3,3921,1997-09-27,100,0,163,137,4,1,0,1,1,1
1,1,164,1,294,26,3,3132.5,1997-09-17,,,,,,1,0,1,0,1
1,1,165,1,294,26,3,4332,1996-10-30,104,,,,2,0,0,0,1,1
1,1,166,1,294,26,3,3162.199951,1996-10-15,50,1,50,24,1,0,0,0,0,1
1,1,166,2,294,26,4,3494.100098,1997-09-11,82,0,121,95,2,0,0,0,0,1
1,1,167,1,294,26,2,4383,1997-03-27,64,0,137,111,2,0,0,0,0,1
1,1,168,1,294,26,3,2903.899902,1997-02-17,41,0,63,37,2,0,0,0,0,1
1,1,169,1,294,26,3,3665.5,1997-03-27,73,0,155,129,3,0,0,0,0,1
1,1,170,1,294,26,3,3596,1997-09-26,65,0,111,85,3,0,0,0,0,1
1,1,171,1,294,26,2,3068.100098,1997-05-18,90,0,100,74,2,0,0,1,1,1
1,1,172,1,294,26,2,3352.699951,1997-03-06,121,1,121,95,1,0,0,0,0,1
1,1,173,1,294,26,3,3927.899902,1997-06-14,65,1,65,39,1,0,0,0,0,1
1,1,174,1,294,26,3,3773,1997-01-25,51,1,51,25,1,0,0,0,0,1
1,1,175,1,294,26,2,3771.300049,1996-11-30,71,1,71,45,1,0,0,0,0,1
1,1,175,2,294,26,3,3654.300049,1997-11-13,,,,,,0,0,0,0,1
1,1,176,1,294,26,3,3550.5,1997-03-27,46,0,132,106,2,0,0,0,0,1
1,1,177,1,294,26,2,4053.899902,1996-10-20,83,0,108,82,2,0,0,0,0,1
1,1,177,2,294,26,3,3297.5,1997-11-09,55,0,141,115,2,0,0,1,1,1
1,1,178,1,294,26,2,3830.100098,1997-05-20,50,0,73,47,2,0,0,0,0,1
1,1,179,1,294,26,2,3208.300049,1997-05-27,70,0,94,68,2,0,0,0,0,1
1,1,180,1,294,26,2,3933.899902,1997-01-04,88,1,88,62,1,0,0,1,0,1
1,1,181,1,294,26,3,4041.5,1997-02-22,97,1,97,71,1,0,0,0,0,1
1,1,182,1,294,26,2,3278.199951,1997-01-25,52,1,52,26,1,0,0,0,0,1
1,1,183,1,294,26,2,4188.299805,1996-10-13,63,1,63,37,1,0,0,0,0,1
1,1,183,2,294,26,3,4340.799805,1997-09-28,62,0,84,58,2,0,0,0,0,1
1,1,184,1,294,26,3,3802.399902,1997-08-12,48,0,158,132,5,0,0,0,0,1
1,1,185,1,294,26,2,3792.199951,1997-01-07,69,0,118,92,2,0,0,0,0,1
1,1,186,1,294,26,3,4302.399902,1997-09-16,70,,,,5,0,0,0,0,1
1,1,187,1,294,26,3,4401.299805,1997-09-22,73,,,,4,0,0,0,0,1
1,1,188,1,294,26,3,4308.100098,1997-05-10,53,0,118,92,2,0,0,1,0,1
1,1,189,1,294,26,2,4367.399902,1996-10-09,105,1,105,79,1,0,0,0,0,1
1,1,189,2,294,26,3,4230.200195,1997-11-04,61,,,,5,0,0,0,0,1
1,1,190,1,294,26,3,3998,1997-08-02,38,1,38,12,1,0,0,0,0,1
1,1,191,1,294,26,2,3973.899902,1997-04-19,45,1,45,19,1,0,0,0,0,1
1,1,192,1,294,26,2,3501,1997-05-13,44,0,139,113,3,0,0,0,0,1
1,1,193,1,294,26,2,2901.800049,1997-04-13,83,1,83,57,1,1,0,0,0,1
1,1,194,1,294,26,3,4476.399902,1997-07-20,45,0,111,85,2,0,0,0,0,1
1,1,195,1,294,26,2,3665.300049,1997-02-01,98,1,98,72,1,0,0,0,0,1
1,1,196,1,294,26,2,3525.5,1997-03-29,74,0,201,175,4,0,0,1,0,1
1,1,197,1,294,26,2,,1997-04-07,60,1,60,34,1,0,0,0,0,1
1,1,198,1,294,26,2,3760.5,1997-03-21,44,1,44,18,1,0,0,0,0,1
1,1,199,1,294,26,2,3643.699951,1997-05-18,59,0,279,253,7,0,0,0,0,1
1,1,200,1,294,26,2,4294.799805,1997-09-23,59,0,171,145,3,0,0,0,0,1
1,1,201,1,294,26,2,3674,1997-06-10,76,1,76,50,1,0,0,0,0,1
1,1,202,1,294,26,2,3590.399902,1997-07-25,62,1,62,36,1,0,0,0,0,1
1,1,203,1,294,26,2,3432.5,1996-12-16,76,1,76,50,1,0,0,0,0,1
1,1,204,1,294,26,2,2774.100098,1997-07-10,73,,,,4,0,0,1,1,1
1,1,205,1,294,26,2,3063.600098,1997-04-10,44,1,44,18,1,0,0,0,0,1
1,1,206,1,294,26,2,3400,1996-10-26,84,0,99,73,2,0,0,0,0,1
1,1,206,2,294,26,3,3828.399902,1997-11-09,89,0,149,123,2,0,0,0,0,1
1,1,207,1,294,26,1,2030.599976,1997-01-25,,,,,,0,0,0,0,1
1,1,208,1,294,26,2,3655.100098,1997-01-29,57,0,194,168,5,0,0,0,0,1
1,1,209,1,294,26,2,3450.699951,1997-09-02,54,0,78,52,2,0,0,0,0,1
1,1,210,1,294,26,2,3098.5,1997-02-04,50,1,50,24,1,0,1,0,0,1
1,1,211,1,294,26,2,4014.800049,1997-07-27,50,0,117,91,3,0,0,0,0,1
1,1,212,1,294,26,2,3697,1997-06-06,57,,,,7,0,1,0,0,1
1,1,213,1,294,26,2,4052,1997-06-05,55,1,55,29,1,0,0,0,0,1
1,1,214,1,294,26,2,2939.800049,1997-05-09,93,1,93,67,1,1,0,1,0,1
1,1,215,1,294,26,2,3603.5,1997-03-08,50,1,50,24,1,0,0,0,0,1
1,1,216,1,294,26,2,3284.800049,1997-03-29,67,1,67,41,1,0,0,1,0,1
1,1,217,1,294,26,2,2853,1997-06-19,88,1,88,62,1,0,0,0,0,1
1,1,218,1,294,26,2,3584.300049,1997-02-21,45,0,233,207,6,0,0,0,0,1
1,1,219,1,294,26,1,3104.300049,1996-11-22,64,,,,6,0,1,0,1,1
1,1,220,1,294,26,2,3435.199951,1997-07-18,68,0,147,121,2,0,0,0,0,1
1,1,221,1,294,26,2,3721.399902,1997-03-06,34,0,79,53,2,0,0,0,0,1
1,1,222,1,294,26,2,2572.699951,1997-06-04,32,0,151,125,4,0,0,0,0,1
1,1,223,1,294,26,2,3040.5,1997-04-11,51,1,51,25,1,0,0,0,0,1
1,1,224,1,294,26,1,2669.399902,1996-09-16,41,1,41,15,1,0,1,0,0,1
1,1,224,2,294,26,2,2965.5,1997-08-01,22,0,84,58,2,0,0,0,0,1
1,1,225,1,294,26,2,3905.300049,1997-07-11,76,1,76,50,1,0,0,0,0,1
1,1,226,1,294,26,2,2925.100098,1997-04-07,49,0,52,26,2,0,0,0,0,1
1,1,227,1,294,26,2,3452,1997-02-15,60,1,60,34,1,0,0,0,0,1
1,1,228,1,294,26,1,2321.5,1996-10-25,,,,,,0,0,0,0,1
1,1,229,1,294,26,2,3188.699951,1997-03-20,52,1,52,26,1,0,0,0,0,1
1,1,230,1,294,26,2,3581.899902,1997-06-19,61,1,61,35,1,0,0,0,0,1
1,1,231,1,294,26,2,3514.5,1997-10-16,110,1,110,84,1,0,0,0,1,1
1,1,232,1,294,26,1,,1996-10-11,,,,,,0,0,0,0,1
1,1,233,1,294,26,1,1530.5,1996-10-05,48,1,48,22,1,0,0,0,1,1
1,1,233,2,294,26,2,1991.900024,1997-08-27,51,0,110,84,2,0,0,0,0,1
1,1,234,1,294,26,1,2038.800049,1996-10-02,57,0,97,71,3,0,0,0,0,1
1,1,234,2,294,26,2,,1997-10-19,,,,,,0,0,0,0,1
1,1,235,1,294,26,2,3501.699951,1997-04-10,51,1,51,25,1,0,0,1,0,1
1,1,236,1,294,26,2,2924,1997-06-14,45,0,52,26,2,0,0,0,0,1
1,1,237,1,294,26,2,3890.899902,1997-09-10,76,0,118,92,2,0,0,0,0,1
1,1,238,1,294,26,2,3476.5,1997-06-30,67,0,255,229,4,0,0,0,1,1
1,1,239,1,294,26,2,3077.699951,1997-07-30,51,1,51,25,1,0,0,0,0,1
1,1,240,1,294,26,2,3230.100098,1997-06-11,64,1,64,38,1,0,0,0,0,1
1,1,241,1,294,26,1,,1996-09-13,,,,,,0,0,1,0,1
1,1,242,1,294,26,2,3137,1997-06-25,115,1,115,89,1,0,0,0,0,1
1,1,243,1,294,26,1,2816.600098,1996-09-01,37,1,37,11,1,0,0,0,0,1
1,1,243,2,294,26,2,,1997-06-20,,,,,,0,0,1,0,1
1,1,244,1,294,26,2,3406.199951,1997-08-08,72,1,72,46,1,0,0,0,0,1
1,1,245,1,294,26,2,3327.600098,1997-10-07,55,1,55,29,1,0,0,0,0,1
1,1,246,1,294,26,2,2715.600098,1997-06-30,46,1,46,20,1,0,0,1,0,1
1,1,247,1,294,26,1,2493.800049,1996-09-19,42,,,,6,0,0,0,0,1
1,1,248,1,294,26,2,3882,1997-11-16,80,,,,5,0,0,0,0,1
1,1,249,1,294,26,2,3500.199951,1997-08-12,36,1,36,10,1,0,0,0,0,1
1,1,250,1,294,26,2,3158.800049,1997-02-22,42,0,106,80,3,0,0,0,0,1
1,1,251,1,294,26,2,3394.399902,1997-06-14,81,1,81,55,1,0,0,0,0,1
1,1,252,1,294,26,2,3589.100098,1997-05-28,73,0,121,95,3,0,0,0,0,1
1,1,253,1,294,26,1,3771.800049,1996-09-23,37,1,37,11,1,0,0,0,0,1
1,1,253,2,294,26,2,4325.399902,1997-08-03,44,0,115,89,3,0,0,0,0,1
1,1,254,1,294,26,2,2747.199951,1997-06-16,64,,,,9,0,0,1,0,1
1,1,255,1,294,26,2,3561.100098,1997-07-11,42,0,178,152,4,0,0,1,0,1
1,1,256,1,294,26,2,3583.399902,1997-10-19,59,1,59,33,1,0,0,0,0,1
1,1,257,1,294,26,1,2824.100098,1997-01-09,62,0,111,85,3,0,0,0,0,1
1,1,258,1,294,26,1,3201.5,1996-10-17,108,1,108,82,1,0,0,1,0,1
1,1,258,2,294,26,2,3121.800049,1997-11-23,50,1,50,24,1,0,0,0,0,1
1,1,259,1,294,26,1,2871.199951,1996-12-08,58,1,58,32,1,0,0,1,0,1
1,1,259,2,294,26,2,3010.800049,1997-11-07,51,1,51,25,1,0,0,0,0,1
1,1,260,1,294,26,1,3192.5,1996-12-06,51,0,98,72,3,0,0,0,0,1
1,1,261,1,294,26,1,2676.899902,1996-12-06,49,1,49,23,1,0,0,0,0,1
1,1,262,1,294,26,1,2627,1996-12-17,55,1,55,29,1,0,0,0,0,1
1,1,262,2,294,26,2,3051.800049,1997-11-11,50,0,56,30,2,0,0,0,0,1
1,1,263,1,294,26,2,2536,1997-01-06,49,1,49,23,1,0,1,0,1,1
1,1,264,1,294,26,1,2019,1997-06-25,121,0,243,217,3,0,0,0,0,1
1,1,265,1,294,26,1,2176.5,1996-12-17,72,1,72,46,1,0,0,1,0,1
1,1,265,2,294,26,2,2584.300049,1997-11-19,68,0,163,137,3,0,1,0,1,1
1,1,266,1,294,26,1,3217.800049,1997-02-03,53,0,96,70,2,0,0,0,0,1
1,1,267,1,294,26,1,2910.399902,1997-05-18,56,0,129,103,2,0,0,0,0,1
1,1,268,1,294,26,1,3224.5,1997-01-07,76,0,132,106,2,0,1,1,1,1
1,1,269,1,294,26,1,2435.399902,1996-12-20,68,1,68,42,1,0,0,0,0,1
1,1,270,1,294,26,1,2685.5,1996-12-21,55,0,220,194,4,0,0,0,0,1
1,1,271,1,294,26,1,2735,1996-12-05,76,0,175,149,4,0,0,0,0,1
1,1,272,1,294,26,1,3225.600098,1996-12-15,71,1,71,45,1,0,1,0,0,1
1,1,273,1,294,26,1,3308.699951,1997-03-31,118,1,118,92,1,0,0,0,0,1
1,1,274,1,294,26,1,,1996-12-21,,,,,,0,1,0,0,1
1,1,275,1,294,26,1,2692.800049,1996-12-15,49,0,233,207,6,0,0,0,0,1
1,1,276,1,294,26,1,3051.600098,1996-12-20,46,1,46,20,1,0,0,0,0,1
1,1,277,1,294,26,1,3090.5,1997-03-26,74,1,74,48,1,0,0,0,0,1
1,1,278,1,294,26,1,2340.600098,1996-12-26,40,0,196,170,5,0,0,0,0,1
1,1,279,1,294,26,1,2303.300049,1996-12-08,93,0,132,106,2,0,0,0,0,1
